Title,Latitude,Longitude,PowerKW,charging_station_type,anno
nuova_colonnina,45.48945673476735,9.195498292,22,slow,2028
nuova_colonnina,45.51381987564914,9.221238323065082,22,slow,2028
nuova_colonnina,45.510571450040814,9.222410255272777,22,slow,2028
nuova_colonnina,45.49769262625655,9.20792676,50,fast,2028
nuova_colonnina,45.50499760000038,9.227262299997596,22,slow,2028
nuova_colonnina,45.496539575012115,9.235767001446023,22,slow,2028
Eni,45.486244757857605,9.229524432517241,50,fast,2028
nuova_colonnina,45.47794400000178,9.247703300005135,22,slow,2028
nuova_colonnina,45.485533369107486,9.238214424452808,50,fast,2028
nuova_colonnina,45.47644297260471,9.228096224,50,fast,2028
nuova_colonnina,45.50029599728757,9.246414976048895,22,slow,2028
nuova_colonnina,45.43340486403591,9.262610537502246,150,ultrafast,2028
IP,45.424365199996934,9.249681299995476,50,fast,2028
nuova_colonnina,45.42659594063904,9.252039229509709,22,slow,2028
nuova_colonnina,45.45306589524293,9.251658766843594,22,slow,2028
nuova_colonnina,45.43835019338379,9.245139573,22,slow,2028
nuova_colonnina,45.44037113640107,9.243583868052072,50,fast,2028
nuova_colonnina,45.44121178881493,9.244596091328052,50,fast,2028
nuova_colonnina,45.44149009260569,9.245184253462826,22,slow,2028
nuova_colonnina,45.45002758951245,9.231392006181027,50,fast,2028
nuova_colonnina,45.43208181182066,9.241685860329458,22,slow,2028
nuova_colonnina,45.43308901753875,9.243665198057265,50,fast,2028
nuova_colonnina,45.46175795528415,9.222388474871742,22,slow,2028
nuova_colonnina,45.432463137837715,9.231714718404794,22,slow,2028
nuova_colonnina,45.44058884165435,9.221311812380343,22,slow,2028
Eni,45.44690134672553,9.201127698181343,50,fast,2028
Total,45.44912000000073,9.186028999994862,50,fast,2028
IP,45.43267940000068,9.173614899999055,50,fast,2028
Adige Parking,45.448462283972326,9.204726831910232,22,slow,2028
Asilo nido La casetta di Cucciolo,45.43887370067934,9.192725899276336,22,slow,2028
nuova_colonnina,45.44429442608937,9.206238464937053,22,slow,2028
nuova_colonnina,45.427859190092654,9.204669659264944,22,slow,2028
nuova_colonnina,45.41515596966661,9.173255623766652,50,fast,2028
nuova_colonnina,45.41755192263932,9.237721041422517,50,fast,2028
nuova_colonnina,45.42245322898171,9.177957933090202,50,fast,2028
Esselunga,45.42109415869299,9.177266081265016,50,fast,2028
nuova_colonnina,45.43196208721339,9.182633888457637,22,slow,2028
